SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
20,19,1,0,0,0
20,19,1,0,0,0
20,19,0,0,0,0
20,19,0,0,0,0
20,19,0,0,0,0
20,19,0,0,0,0
20,19,1,0,0,0
20,19,0,0,0,0
20,19,0,1,0,0
20,19,0,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,1,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,1,0,0,0
20,20,1,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,1,1,0,0
20,20,0,0,0,0
20,20,0,0,0,0
20,20,1,0,1,0
20,20,0,0,0,0
20,20,1,0,0,0
20,20,1,0,1,0
20,20,0,0,0,0
50,1,0,0,0,0
50,1,1,0,1,0
50,1,1,0,0,0
50,1,1,0,0,0
50,1,0,0,1,0
50,1,0,0,0,0
50,1,0,0,1,0
50,1,0,1,0,0
50,1,0,0,0,0
50,1,1,1,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,2,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,0,0,1,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,1,0
50,1,1,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,0,0,0,0
50,1,1,0,0,0
50,1,0,0,0,0
